119983;6;9;5
159846;4;7;2
186319;7;10;8
128042;8;6;1
173520;3;7;2
112129;6;10;4
197371;1;2;1
198420;10;8;2
186319;2;8;0
169711;1;8;9
113122;10;8;0
162680;3;7;7
134125;5;1;10
173384;9;10;4
183516;3;2;1
183800;6;8;5
112129;2;7;1
118101;8;9;0
128513;5;8;4
119983;8;6;0
179047;7;8;1
172472;4;1;5
113122;4;6;10
153377;10;5;1
122817;7;10;3
118101;0;1;3
172472;9;0;7
119983;6;3;3
142180;4;1;3
139193;10;7;3
173384;1;5;6
150692;0;4;9
118101;6;0;3
139929;4;0;-100
142855;10;3;5
186319;8;4;7
183800;3;3;4
190197;4;7;9
115738;3;1;3
173520;9;10;2
142855;7;1;5
183516;8;5;10
186319;0;1;9
109763;2;6;10
196785;0;6;4
173520;4;-10;1
146058;6;7;9
183516;0;0;1
139929;9;1;8
173520;9;8;10
134125;9;0;2
169711;2;1;8
169711;8;2;0
119983;0;2;6
184225;6;8;5
172472;9;7;0
139193;9;9;0
135693;2;1;10
197371;8;1;10
139193;3;7;7
198420;9;1;3
131884;10;2;7
173384;2;3;10
116803;9;8;5
119983;5;6;7
122817;2;0;2
184786;9;2;7
122817;8;8;6
158709;4;7;0
137905;5;8;8
198420;10;6;5
171599;3;9;11
119266;1;2;10
162680;5;2;9
134125;7;8;2
119983;0;3;5
171414;4;1;3
142215;6;1;10
198420;0;7;9
142855;4;3;1
169711;6;5;6
169126;8;7;7
173384;2;0;9
113122;2;4;7
119266;3;5;3
157212;4;9;2
134125;1;9;10
135693;2;7;4
184225;6;0;0
119983;10;0;5
188223;8;1;8
137905;9;5;3
112129;1;7;9
134125;1;0;1000
196785;6;1;0
183800;0;9;1
184225;8;10;7
173384;2;0;6
119266;9;2;0
115738;7;7;0
119983;2;1;4
162833;2;0;8
198420;9;5;0
173520;7;6;7
183516;5;1;9
109763;3;1;1
153377;9;7;9
198963;6;9;10
142215;6;5;1
150692;4;10;9
146058;5;1;3
142215;1;10;8
184225;10;8;2
139193;6;9;9
113122;6;2;10
171414;2;0;1
184786;9;4;9
113122;7;4;3
112129;4;7;6
134222;2;6;5
115738;10;4;2
115738;7;9;10
113122;0;3;3
184225;0;6;5
197371;3;3;7
115738;1;4;8
158709;10;6;7
183516;6;7;7
115738;0;7;8
157212;6;3;0
142180;1;3;10
118101;3;9;10
150692;9;6;0
142215;3;2;10
169711;10;10;1
119266;7;2;5
116803;5;0;9
139193;0;6;9
115203;2;6;2
158709;0;1;2
196785;10;1;10
198963;5;7;0
111958;0;9;3
142215;0;4;1
134125;3;10;7
119983;3;8;9
184786;7;3;3
115738;4;6;7
153377;2;9;7
186319;1;10;6
184225;9;6;7
198420;8;5;5
113122;1;6;1
118101;5;8;8
184786;7;3;5
112129;4;4;2
173520;3;2;3
183701;1;3;6
184786;7;6;9
113122;10;6;5
124275;0;7;8
157212;8;10;6
122817;4;4;7
173520;0;9;6
111958;9;9;1
142215;1;1;5
169711;5;6;9
184225;6;1;5
162833;6;10;1
122817;7;4;6
162680;8;6;5
124275;9;3;4
134125;4;0;3
124275;9;3;1
113122;7;1;2
184786;6;8;5
162680;4;7;3
162680;1;1;7
186319;10;0;7
137905;3;5;1
139193;8;3;8
183516;3;8;4
173384;2;10;3
169711;7;8;5
128042;4;4;8
134222;5;2;0
142215;1;3;2
196785;0;1;7
162680;8;2;1
111958;1;3;1
119983;5;2;0
198420;6;1;0
183800;6;5;4
188223;9;0;0
184225;0;4;6
171414;9;7;10
186319;3;6;10
139929;3;0;10
142215;6;1;3
198963;3;3;0
142180;5;7;7
169126;8;7;4
186319;4;7;3
119266;7;10;9
153377;4;2;6
173520;9;9;1
183516;5;6;7
158709;1;4;5
135693;1;0;1
142855;4;10;6
146058;8;1;1
186319;4;2;2
173520;10;4;0
190197;1;10;3
183800;5;10;0
118101;6;8;10
183800;4;6;9
173520;0;6;7
186319;7;2;8
188223;1;10;4
137905;5;0;3
153377;1;4;7
124275;2;10;2
122817;1;3;9
184225;8;3;10
162833;1;5;7
139929;6;7;10
157212;10;6;10
122817;7;6;5
153377;7;8;8
142855;0;4;0
119983;8;1;8
183800;3;1;0
188223;3;7;10
146058;0;3;7
183701;10;0;4
184786;4;6;3
128042;0;1;1
113122;0;4;5
119266;2;5;5
162833;0;5;10
172472;6;5;5
183800;3;4;10
112129;9;5;2
157212;2;2;0
183516;0;0;5
134222;9;1;2
104274;9;6;0
184786;9;2;4
184225;2;5;4
118101;9;7;6
115738;2;9;3
135693;0;2;3
173520;9;0;9
